product_id,product_name,category,sub-category,sub_category
OFF-LA-10000134,Avery 511,Office Supplies,Labels,Low
OFF-ST-10003442,Eldon Portable Mobile Manager,Office Supplies,Storage,Medium
OFF-AR-10004930,Turquoise Lead Holder With Pocket Clip,Office Supplies,Art,Low
OFF-PA-10000304,Xerox 1995,Office Supplies,Paper,Low
OFF-PA-10003177,Xerox 1999,Office Supplies,Paper,Low
FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,Low
OFF-BI-10002852,Ibico Standard Transparent Covers,Office Supplies,Binders,Low
OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,Low
FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,Low
OFF-BI-10001721,Trimflex Flexible Post Binders,Office Supplies,Binders,Low
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,Low
OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,Low
TEC-AC-10001767,Sandisk Ultra 64 Gb Microsdhc Class 10 Memory Card,Technology,Accessories,Low
OFF-BI-10002609,Avery Hidden Tab Dividers For Binding Systems,Office Supplies,Binders,Low
OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. And 87 Bright),Office Supplies,Paper,Low
TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,Medium
FUR-FU-10004006,"Deflect-O Duramat Lighweight, Studded, Beveled Mat For Low Pile Carpeting",Furniture,Furnishings,Medium
OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 Sheets",Office Supplies,Binders,Low
TEC-AC-10003499,Memorex Mini Travel Drive 8 Gb Usb 2.0 Flash Drive,Technology,Accessories,Low
TEC-PH-10002844,Speck Products Candyshell Flip Case,Technology,Phones,Low
OFF-AR-10000390,Newell Chalk Holder,Office Supplies,Art,Low
TEC-AC-10000844,Logitechâ Gaming G510S - Keyboard,Technology,Accessories,Medium
FUR-FU-10001934,Magnifier Swing Arm Lamp,Furniture,Furnishings,Low
OFF-AR-10000380,"Hunt Powerhouse Electric Pencil Sharpener, Blue",Office Supplies,Art,Low
OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,Low
OFF-FA-10000621,"Oic Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,Low
OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 X 9 1/2",Office Supplies,Envelopes,Low
OFF-PA-10004965,Xerox 1921,Office Supplies,Paper,Low
OFF-EN-10002504,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,Medium
FUR-TA-10001768,Hon Racetrack Conference Tables,Furniture,Tables,High
OFF-BI-10003650,Gbc Docubind 300 Electric Binding Machine,Office Supplies,Binders,Medium
FUR-FU-10002157,Artistic Insta-Plaque,Furniture,Furnishings,Low
OFF-ST-10000777,"Companion Letter/Legal File, Black",Office Supplies,Storage,Medium
OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,Medium
TEC-PH-10003875,Kld Oscar Ii Style Snap-On Ultra Thin Side Flip Synthetic Leather Cover Case For Htc One Htc M7,Technology,Phones,Low
FUR-CH-10004063,Global Deluxe High-Back Manager'S Chair,Furniture,Chairs,High
FUR-TA-10004534,Bevis 44 X 96 Conference Tables,Furniture,Tables,High
OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,Low
OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle Ii, Black",Office Supplies,Storage,Medium
FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats For High Pile Carpets,Furniture,Furnishings,Medium
TEC-PH-10002293,Anker 36W 4-Port Usb Wall Charger Travel Power Adapter For Iphone 5S 5C 5,Technology,Phones,Low
OFF-PA-10002377,Xerox 1916,Office Supplies,Paper,Low
OFF-FA-10002780,Staples,Office Supplies,Fasteners,Low
OFF-PA-10001804,Xerox 195,Office Supplies,Paper,Low
OFF-PA-10001736,Xerox 1880,Office Supplies,Paper,Low
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,Low
OFF-FA-10002988,Ideal Clamps,Office Supplies,Fasteners,Low
OFF-BI-10004781,Gbc Wire Binding Strips,Office Supplies,Binders,Low
OFF-SU-10001218,Fiskars Softgrip Scissors,Office Supplies,Supplies,Low
OFF-AR-10000940,Newell 343,Office Supplies,Art,Low
OFF-EN-10004030,Convenience Packs Of Business Envelopes,Office Supplies,Envelopes,Low
OFF-PA-10004327,Xerox 1911,Office Supplies,Paper,Medium
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,High
FUR-FU-10000521,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,Low
TEC-PH-10000215,Plantronics Cordlessâ Phone Headsetâ With In-Line Volume - M214C,Technology,Phones,Medium
TEC-PH-10001448,Anker Astro 15000Mah Usb Portable Charger,Technology,Phones,Medium
OFF-BI-10002735,Gbc Prestige Therm-A-Bind Covers,Office Supplies,Binders,Medium
OFF-AP-10000326,Belkin 7 Outlet Surgemaster Surge Protector With Phone Protection,Office Supplies,Appliances,Medium
TEC-PH-10001254,Jabra Biz 2300 Duo Qd Duo Cordedâ Headset,Technology,Phones,Medium
OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,Low
OFF-PA-10002254,Xerox 1883,Office Supplies,Paper,Medium
OFF-ST-10001590,"Tenex Personal Project File With Scoop Front Design, Black",Office Supplies,Storage,Low
OFF-AR-10001547,Newell 311,Office Supplies,Art,Low
OFF-LA-10002475,Avery 519,Office Supplies,Labels,Low
TEC-PH-10004536,Avaya 5420 Digital Phone,Technology,Phones,High
OFF-PA-10002751,Xerox 1920,Office Supplies,Paper,Low
TEC-AC-10003657,Lenovo 17-Key Usb Numeric Keypad,Technology,Accessories,Low
OFF-EN-10001990,Staple Envelope,Office Supplies,Envelopes,Low
OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,Low
OFF-AR-10004441,Bic Brite Liner Highlighters,Office Supplies,Art,Low
TEC-MA-10000822,Lexmark Mx611Dhe Monochrome Laser Printer,Technology,Machines,High
OFF-ST-10000991,Space Solutions Hd Industrial Steel Shelving.,Office Supplies,Storage,Medium
FUR-CH-10004287,Safco Arco Folding Chair,Furniture,Chairs,High
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Office Supplies,Art,Low
OFF-AP-10002518,Kensington 7 Outlet Masterpiece Power Center,Office Supplies,Appliances,Medium
TEC-PH-10003931,Jbl Micro Wireless Portable Bluetooth Speaker,Technology,Phones,Medium
OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6Â X 11Â",Office Supplies,Paper,Low
OFF-PA-10001144,Xerox 1913,Office Supplies,Paper,Medium
FUR-CH-10003817,"Global Value Steno Chair, Gray",Furniture,Chairs,Medium
OFF-AP-10000891,Kensington 7 Outlet Masterpiece Homeoffice Power Control Center,Office Supplies,Appliances,Low
OFF-LA-10003148,Avery 51,Office Supplies,Labels,Low
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,Low
FUR-CH-10004698,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,Medium
OFF-SU-10002189,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,Low
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,Low
OFF-ST-10003455,"Tenex File Box, Personal Filing Tote With Lid, Black",Office Supplies,Storage,Low
TEC-AC-10004659,Imationâ Secure+ Hardware Encrypted Usb 2.0Â Flash Drive; 16Gb,Technology,Accessories,Medium
TEC-PH-10003273,At&T Tr1909W,Technology,Phones,High
TEC-PH-10004896,Nokia Lumia 521 (T-Mobile),Technology,Phones,Medium
TEC-AC-10002345,Hp Standard 104 Key Ps/2 Keyboard,Technology,Accessories,Low
OFF-BI-10001890,Avery Poly Binder Pockets,Office Supplies,Binders,Low
TEC-AC-10002323,Sandisk Ultra 32 Gb Microsdhc Class 10 Memory Card,Technology,Accessories,Medium
OFF-ST-10001328,"Personal Filing Tote With Lid, Black/Gray",Office Supplies,Storage,Low
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,High
TEC-PH-10001552,I Need'S 3D Hello Kitty Hybrid Silicone Case Cover For Htc One X 4G With 3D Hello Kitty Stylus Pen Green/Pink,Technology,Phones,Low
OFF-PA-10000061,Xerox 205,Office Supplies,Paper,Low
OFF-AR-10003514,4009 Highlighters By Sanford,Office Supplies,Art,Low
OFF-AR-10004685,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,Low
OFF-AR-10004027,"Binney & Smith Inktank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,Low
OFF-ST-10001414,Decoflex Hanging Personal Folder File,Office Supplies,Storage,Low
OFF-BI-10000343,"Pressboard Covers With Storage Hooks, 9 1/2"" X 11"", Light Blue",Office Supplies,Binders,Low
OFF-PA-10002749,"Wirebound Message Books, 5-1/2 X 4 Forms, 2 Or 4 Forms Per Page",Office Supplies,Paper,Low
OFF-PA-10002666,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,Paper,Low
FUR-TA-10004289,Boxoffice By Design Rectangular And Half-Moon Meeting Room Tables,Furniture,Tables,Medium
OFF-AP-10003622,"Bravo Ii Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts Per Pack",Office Supplies,Appliances,Low
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Office Supplies,Appliances,Low
FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,Low
TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital Phone,Technology,Phones,Medium
OFF-ST-10000642,"Tennsco Lockers, Gray",Office Supplies,Storage,Low
TEC-PH-10001700,Panasonic Kx-Tg6844B Expandable Digital Cordless Telephone,Technology,Phones,Medium
OFF-FA-10000134,"Advantus Push Pins, Aluminum Head",Office Supplies,Fasteners,Low
OFF-ST-10001522,"Gould Plastics 18-Pocket Panel Bin, 34W X 5-1/4D X 20-1/2H",Office Supplies,Storage,Low
TEC-AC-10001266,Memorex Micro Travel Drive 8 Gb,Technology,Accessories,Low
OFF-LA-10004544,Avery 505,Office Supplies,Labels,Low
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase In Odessa Pine,Furniture,Bookcases,Medium
TEC-MA-10000864,Cisco 9971 Ip Video Phone Charcoal,Technology,Machines,High
TEC-AC-10000109,Sony Micro Vault Click 16 Gb Usb 2.0 Flash Drive,Technology,Accessories,Low
TEC-PH-10002563,Adtran 1202752G1,Technology,Phones,Medium
OFF-FA-10000585,Oic Bulk Pack Metal Binder Clips,Office Supplies,Fasteners,Low
OFF-PA-10004000,"While You Were Out Pads, 50 Per Pad, 4 X 5 1/4, Green Cycle",Office Supplies,Paper,Low
FUR-FU-10000087,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Furnishings,Low
TEC-MA-10001148,Swingline Sm12-08 Microcut Jam Free Shredder,Technology,Machines,Medium
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,Art,Low
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,Low
FUR-TA-10003748,Bevis 36 X 72 Conference Tables,Furniture,Tables,High
OFF-ST-10002485,Rogers Deluxe File Chest,Office Supplies,Storage,Low
FUR-CH-10004860,Global Low Back Tilter Chair,Furniture,Chairs,Medium
FUR-CH-10004477,"Global Push Button Manager'S Chair, Indigo",Furniture,Chairs,Medium
OFF-BI-10001679,Gbc Instant Index System For Binding Systems,Office Supplies,Binders,Low
FUR-TA-10001705,Bush Advantage Collection Round Conference Table,Furniture,Tables,Medium
FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables,High
FUR-FU-10004017,"Tenex Contemporary Contur Chairmats For Low And Medium Pile Carpet, Computer, 39"" X 49""",Furniture,Furnishings,Medium
TEC-AC-10003832,Logitechâ P710E Mobile Speakerphone,Technology,Accessories,High
OFF-PA-10002479,Xerox 4200 Series Multiuse Premium Copy Paper (20Lb. And 84 Bright),Office Supplies,Paper,Low
OFF-PA-10003349,Xerox 1957,Office Supplies,Paper,Low
FUR-FU-10000576,Luxo Professional Fluorescent Magnifier Lamp With Clamp-Mount Base,Furniture,Furnishings,Medium
FUR-FU-10004351,Staple-Based Wall Hangings,Furniture,Furnishings,Low
TEC-PH-10000011,Puregear Roll-On Screen Protector,Technology,Phones,Low
FUR-TA-10002607,Ki Conference Tables,Furniture,Tables,Medium
FUR-FU-10002505,Eldon 100 Class Desk Accessories,Furniture,Furnishings,Low
OFF-ST-10002276,Safco Steel Mobile File Cart,Office Supplies,Storage,Medium
OFF-PA-10004082,"Adams Telephone Message Book W/Frequently-Called Numbers Space, 400 Messages Per Book",Office Supplies,Paper,Low
OFF-AP-10002945,Honeywell Enviracaire Portable Hepa Air Cleaner For 17' X 22' Room,Office Supplies,Appliances,High
FUR-CH-10002965,"Global Leather Highback Executive Chair With Pneumatic Height Adjustment, Black",Furniture,Chairs,Medium
OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" X 5"" Forms Per Page",Office Supplies,Paper,Low
OFF-ST-10001228,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,Storage,Low
OFF-EN-10003296,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Envelopes,Medium
OFF-ST-10004804,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Storage,Low
TEC-PH-10001580,Logitech Mobile Speakerphone P710E -Â Speaker Phone,Technology,Phones,High
TEC-AC-10000290,Sabrent 4-Port Usb 2.0 Hub,Technology,Accessories,Low
OFF-ST-10002790,Safco Industrial Shelving,Office Supplies,Storage,Medium
OFF-BI-10003460,Acco 3-Hole Punch,Office Supplies,Binders,Low
OFF-AP-10002203,Eureka Disposable Bags For Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,Low
TEC-MA-10003353,Xerox Workcentre 6505Dn Laser Multifunction Printer,Technology,Machines,High
TEC-PH-10001433,Cisco Small Business Spa 502G Voip Phone,Technology,Phones,Medium
TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,Technology,Accessories,Low
OFF-AR-10003602,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art,Low
OFF-FA-10003472,Bagged Rubber Bands,Office Supplies,Fasteners,Low
OFF-ST-10004180,Safco Commercial Shelving,Office Supplies,Storage,Low
OFF-EN-10004386,"Recycled Interoffice Envelopes With String And Button Closure, 10 X 13",Office Supplies,Envelopes,Low
OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,Office Supplies,Storage,High
TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse For Web Scrolling,Technology,Accessories,Medium
FUR-FU-10003274,Regeneration Desk Collection,Furniture,Furnishings,Low
OFF-BI-10002557,Presstex Flexible Ring Binders,Office Supplies,Binders,Low
OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" X 9"", Gregg Ruled",Office Supplies,Paper,Low
OFF-AR-10001427,Newell 330,Office Supplies,Art,Low
OFF-PA-10000673,"Post-It ÂImportant Messageâ Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,Paper,Low
OFF-PA-10004470,"Adams Write N' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper,Low
OFF-ST-10000876,Eldon Simplefile Box Office,Office Supplies,Storage,Low
OFF-LA-10002043,Avery 489,Office Supplies,Labels,Low
OFF-BI-10004967,Round Ring Binders,Office Supplies,Binders,Low
TEC-PH-10001760,Bose Soundlink Bluetooth Speaker,Technology,Phones,High
FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,High
OFF-PA-10000474,Easy-Staple Paper,Office Supplies,Paper,Medium
TEC-AC-10001956,Microsoft Arc Touch Mouse,Technology,Accessories,Medium
OFF-PA-10004100,Xerox 216,Office Supplies,Paper,Low
OFF-BI-10000778,Gbc Velobinder Electric Binding Machine,Office Supplies,Binders,Medium
OFF-SU-10000646,Premier Automatic Letter Opener,Office Supplies,Supplies,High
OFF-FA-10002983,Advantus Slideclip Paper Clips,Office Supplies,Fasteners,Low
OFF-LA-10004689,Avery 512,Office Supplies,Labels,Low
TEC-AC-10002001,Logitech Wireless Gaming Headset G930,Technology,Accessories,Medium
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",Furniture,Bookcases,Low
FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furniture,Furnishings,Medium
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,Furniture,Chairs,Medium
FUR-FU-10002918,Eldon Clustermat Chair Mat With Cordless Antistatic Protection,Furniture,Furnishings,Medium
OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,Office Supplies,Binders,Low
OFF-FA-10004854,"Vinyl Coated Wire Paper Clips In Organizer Box, 800/Box",Office Supplies,Fasteners,Low
OFF-PA-10002105,Xerox 223,Office Supplies,Paper,Low
OFF-ST-10002756,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,High
OFF-PA-10004243,Xerox 1939,Office Supplies,Paper,Low
FUR-FU-10001861,"Floodlight Indoor Halogen Bulbs, 1 Bulb Per Pack, 60 Watts",Furniture,Furnishings,Low
OFF-BI-10002706,Avery Premier Heavy-Duty Binder With Round Locking Rings,Office Supplies,Binders,Low
FUR-TA-10002533,Bpi Conference Tables,Furniture,Tables,Medium
FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb For Zoom-In Desk Lamp,Furniture,Furnishings,Low
OFF-AR-10003651,Newell 350,Office Supplies,Art,Low
OFF-BI-10001072,"Gbc Clear Cover, 8-1/2 X 11, Unpunched, 25 Covers Per Pack",Office Supplies,Binders,Low
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Office Supplies,Art,Medium
OFF-AR-10002804,Faber Castell Col-Erase Pencils,Office Supplies,Art,Low
FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furniture,Furnishings,Low
FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs,Medium
FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furniture,Furnishings,Low
OFF-LA-10000634,Avery 509,Office Supplies,Labels,Low
FUR-FU-10001588,"Deflect-O Supertray Unbreakable Stackable Tray, Letter, Black",Furniture,Furnishings,Low
TEC-PH-10002398,At&T 1070 Corded Phone,Technology,Phones,Medium
OFF-PA-10001937,Xerox 21,Office Supplies,Paper,Low
OFF-AR-10003373,"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art,Low
FUR-CH-10002602,Dmi Arturo Collection Mission-Style Design Wood Chair,Furniture,Chairs,Medium
TEC-MA-10002927,Canon Imageclass Mf7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,High
TEC-AC-10000892,Netgear N750 Dual Band Wi-Fi Gigabit Router,Technology,Accessories,Medium
